ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
10	12	609.500000	785.000000	0.721132	-26.565050	-84.559666	-158.391433	46	0.239349	94.795923	34.499964
10	13	610.500000	784.500000	0.721132	-63.434947	-36.869897	-121.571170	46	0.175541	94.795923	34.499964
10	14	611.000000	783.500000	0.989464	-102.094754	-38.659807	-83.026050	46	0.116467	94.795923	34.499964
10	15	610.678571	782.000000	0.755561	-47.718476	54.376278	-137.585734	46	0.062862	94.795923	34.499964
10	16	611.466667	781.133333	0.808810	93.751726	141.470202	80.849072	46	0.102628	94.795923	34.499964
10	17	611.384615	782.384615	0.436427	-72.099082	-165.850809	-113.151214	46	0.074560	94.795923	34.499964
10	18	611.592593	781.740741	0.614082	-87.653123	-15.554041	-97.671961	46	0.043021	94.795923	34.499964
10	19	611.631579	780.789474	0.501116	172.078103	-100.268774	2.483419	46	0.066551	94.795923	34.499964
10	20	610.862069	780.896552	0.780281	164.620321	-7.457782	9.945253	46	0.104458	94.795923	34.499964
10	21	609.695652	781.217391	2.746653	60.103402	-104.516919	114.487385	46	0.147834	94.795923	34.499964
10	22	611.818182	784.909091	4.920653	-103.787850	-163.891252	-81.155442	46	0.085909	94.795923	34.499964
10	23	610.000000	777.500000	2.956861	115.866354	-140.345796	58.281910	46	0.172452	94.795923	34.499964
10	25	606.000000	785.750000	4.987073	76.918596	-38.947758	98.179064	46	0.242962	94.795923	34.499964
10	26	607.750000	793.281250	5.393784	-50.002528	-126.921124	-133.970476	46	0.103939	94.795923	34.499964
10	27	613.125000	786.875000	3.834700	-18.892086	31.110443	-165.802786	46	0.110178	94.795923	34.499964
10	28	618.750000	784.950000	2.958076	2.013204	20.905290	173.119121	46	0.155669	94.795923	34.499964
10	29	623.333333	785.111111	2.902389	-11.032473	-13.045677	-173.770695	46	0.194370	94.795923	34.499964
10	30	627.750000	784.250000	3.204247	34.399249	45.431722	140.740780	46	0.238331	94.795923	34.499964
10	31	631.849057	787.056604	3.400130	-40.777725	-75.176973	-143.719348	46	0.257602	94.795923	34.499964
10	32	635.840909	783.613636	1.120640	-150.193140	-109.415415	-34.660950	46	0.235545	94.795923	34.499964
10	33	634.333333	782.750000	7.127074	31.547346	-178.259514	143.485151	46	0.310060	94.795923	34.499964
10	34	643.750000	788.531250	3.482279	-31.289502	-62.836848	-152.936574	46	0.330543	94.795923	34.499964
10	35	648.363636	785.727273	1.455612	145.669779	176.959281	29.829758	46	0.309577	94.795923	34.499964
10	36	646.500000	787.000000	3.476158	16.529529	-129.140249	159.095883	46	0.341095	94.795923	34.499964
10	37	651.666667	788.533333	2.057832	27.368210	10.838680	148.470724	46	0.357666	94.795923	34.499964
10	38	654.500000	790.000000	1.954000	-101.906049	-129.274259	-82.070736	46	0.339170	94.795923	34.499964
10	39	653.875000	787.035714	2.829964	85.394801	-172.699149	90.296732	46	0.337624	94.795923	34.499964
10	40	654.227273	791.409091	3.171246	123.690064	38.295263	52.486436	46	0.315438	94.795923	34.499964
10	41	651.500000	795.500000	1.333333	32.774876	-90.915188	143.835192	46	0.325639	94.795923	34.499964
10	42	653.238095	796.619048	4.828399	2.917007	-29.857869	173.828238	46	0.358517	94.795923	34.499964
10	43	660.714286	797.000000	0.800931	147.528804	144.611796	29.304358	46	0.350160	94.795923	34.499964
10	44	659.666667	797.666667	2.019742	25.201123	-122.327681	151.698570	46	0.363939	94.795923	34.499964
10	45	662.500000	799.000000					46		94.795923	34.499964
11	0	651.500000	311.500000	0.575410	97.431405		37.568774	23	1.000000	10.295226	1.401628
11	1	651.384615	312.384615	0.191518	-163.442924	99.125671	-61.514021	23	0.752229	10.295226	1.401628
11	2	651.100000	312.300000	0.189923	-151.144335	12.298590	-73.833186	23	0.627172	10.295226	1.401628
11	3	650.842105	312.157895	0.543499	149.288960	-59.566705	-14.288780	23	0.756325	10.295226	1.401628
11	4	650.117647	312.588235	0.876835	106.910323	-42.378637	28.073440	23	0.807964	10.295226	1.401628
11	5	649.722222	313.888889	0.502466	-78.690065	174.399612	-146.275587	23	0.514740	10.295226	1.401628
11	6	649.875000	313.125000	0.497223	68.470991	147.161057	66.529189	23	0.515597	10.295226	1.401628
11	7	650.157895	313.842105	1.122463	-99.355491	-167.826482	-125.588445	23	0.249587	10.295226	1.401628
11	8	649.875000	312.125000	0.752663	48.576333	147.931824	86.368041	23	0.211915	10.295226	1.401628
11	9	650.647059	313.000000	0.072774	79.992018	31.415685	55.044275	23	0.219717	10.295226	1.401628
11	10	650.666667	313.111111	0.435931	-170.537673	109.470309	-54.418734	23	0.237515	10.295226	1.401628
11	11	650.000000	313.000000	0.645000	89.999997	-99.462329	45.000183	23	0.293564	10.295226	1.401628
11	12	650.000000	314.000000	0.000000	0.000000	-89.999997	135.056081	23	0.293564	10.295226	1.401628
11	13	650.000000	314.000000	0.000000	0.000000	0.000000	135.056081	23	0.293564	10.295226	1.401628
11	14	650.000000	314.000000	0.429404	-71.565049	-71.565049	-153.378870	23	0.214228	10.295226	1.401628
11	15	650.210526	313.368421	0.160129	147.994613	-140.440338	-12.962095	23	0.230514	10.295226	1.401628
11	16	650.000000	313.500000	0.660734	102.528805	-45.465808	32.499312	23	0.291430	10.295226	1.401628
