index,EDGE_ID,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,SOURCE_FRAME,TARGET_FRAME,FRAME_DIFF,SPOT_SOURCE_DIFF,SPOT_TARGET_DIFF,EVENT
179,179,2,3708,3703,39,40,0.0,-2.0,-2.0,None
173,173,2,3703,3698,40,41,1.0,-5.0,-5.0,None
209,209,2,3705,3699,40,41,0.0,2.0,1.0,None
150,150,2,3699,3723,41,42,1.0,-6.0,24.0,None
156,156,2,3698,3722,41,42,0.0,-1.0,-1.0,None
161,161,2,3722,3717,42,43,1.0,24.0,-5.0,None
175,175,2,3723,3718,42,43,0.0,1.0,1.0,None
127,127,2,3717,3712,43,44,1.0,-6.0,-6.0,None
197,197,2,3718,3713,43,44,0.0,1.0,1.0,None
186,186,2,3713,3727,44,45,1.0,-5.0,14.0,None
207,207,2,3712,3726,44,45,0.0,-1.0,-1.0,None
137,137,2,3727,3737,45,46,1.0,15.0,11.0,None
140,140,2,3726,3735,45,46,0.0,-1.0,-2.0,None
139,139,2,3735,3730,46,47,1.0,9.0,-5.0,None
184,184,2,3737,3731,46,47,0.0,2.0,1.0,None
163,163,2,3730,3740,47,48,1.0,-7.0,9.0,None
204,204,2,3731,3741,47,48,0.0,1.0,1.0,None
152,152,2,3741,3745,48,49,1.0,10.0,4.0,None
214,214,2,3740,3744,48,49,0.0,-1.0,-1.0,None
226,226,3,3706,3701,39,40,,,,None
224,224,3,3701,3696,40,41,1.0,-5.0,-5.0,None
221,221,3,3696,3720,41,42,1.0,-5.0,24.0,None
222,222,3,3720,3714,42,43,1.0,24.0,-6.0,None
225,225,3,3714,3724,43,45,1.0,-6.0,10.0,gap
223,223,3,3724,3732,45,46,2.0,10.0,8.0,None
228,228,3,3732,3728,46,47,1.0,8.0,-4.0,None
227,227,3,3728,3738,47,48,1.0,-4.0,10.0,None
229,229,3,3738,3742,48,49,1.0,10.0,4.0,
