ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
6	24	7.153846	1127.538462	0.819201	136.969964	-151.418978	132.666522	14	0.115819	8.233209	0.953561
6	25	5.294118	1129.274510					14		8.233209	0.953561
7	25	205.000000	1370.684211	5.350505	-37.033229		-61.472896	17	1.000000	50.770579	22.729275
7	26	218.264706	1360.676471	2.350150	-60.352965	-23.319735	-38.760155	17	0.982525	50.770579	22.729275
7	27	221.875000	1354.333333	0.912728	91.684682	152.037646	169.011431	17	0.805863	50.770579	22.729275
7	28	221.791667	1357.166667	1.608266	-19.493061	-111.177743	-79.788314	17	0.829167	50.770579	22.729275
7	29	226.500000	1355.500000	1.535393	-24.290962	-4.797900	-75.195347	17	0.849465	50.770579	22.729275
7	30	230.846154	1353.538462	1.038757	61.312065	85.603027	-160.990740	17	0.777829	50.770579	22.729275
7	31	232.394737	1356.368421	0.898515	-140.229017	158.458918	40.506594	17	0.704147	50.770579	22.729275
7	32	230.250000	1354.583333	6.596321	141.956166	-77.814817	118.396990	17	0.154841	50.770579	22.729275
7	33	214.116883	1367.207792	12.593809	-164.110786	53.933048	65.210058	17	0.311720	50.770579	22.729275
7	34	176.500000	1356.500000	3.704260	-178.505661	-14.394876	81.092314	17	0.374389	50.770579	22.729275
7	35	165.000000	1356.200000	3.042687	129.417391	-52.076948	133.645900	17	0.378275	50.770579	22.729275
7	36	159.000000	1363.500000	3.818374	148.969414	19.552024	114.379273	17	0.416279	50.770579	22.729275
7	37	148.838710	1369.612903	2.100056	163.563143	14.593729	100.234745	17	0.441269	50.770579	22.729275
7	38	142.583333	1371.458333	1.037658	-70.159300	126.277557	-25.776116	17	0.424134	50.770579	22.729275
7	39	143.677083	1368.427083	1.443940	-105.989184	-35.829884	9.995415	17	0.421691	50.770579	22.729275
7	40	142.441860	1364.116279	2.739160	159.003077	-95.007738	105.035669	17	0.447686	50.770579	22.729275
7	41	134.500000	1367.164384					17		50.770579	22.729275
